Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
ThingDef&APM_Weapon_CelerusApexVoltana.label	celerus apex voltana							疾风巅峰伏特剑				высшая вольтана «Целерус»	вершинна вольтана целеруса		疾風巔峰伏特劍														
ThingDef&APM_Weapon_CelerusApexVoltana.description	This weapon is imbued with sharpness maintaining mechanites similar to those seen in imperial monotech. Such a technology being utilized by the mechhive allows the hive to apply it on larger and more complex applications, such as this deadly weapon. The blade crackles with a form of electricity so intense that it glows a savage purple, the impossible color a result of the whims of the Celerus.							这件武器浸透了维持锋利度的纳米机械体，类似于帝国单分子技术中的那些。机械巢群运用这种技术，使其得以应用在更大、更复杂的造物上，比如这件致命的武器。刀刃噼啪作响，迸发出强烈到会泛出狂暴紫光的电流——这种不可能的颜色，正是疾风一时兴起的产物。				Это оружие пронизано механитами, поддерживающими остроту, подобно тем, что используются в монотехнологиях Империи. Использование подобной технологии ульем механоидов позволяет применять её на более крупных и сложных объектах, таких как это смертоносное оружие. Лезвие трещит от электрических разрядов столь мощных, что оно светится свирепым фиолетовым цветом — этот аномальный оттенок стал результатом каприза самого Целеруса.	Ця зброя пронизана механітами, що підтримують гостроту, — подібно до тих, які використовуються в монотехнологіях Імперії. Те, що мехрій застосовує таку технологію, дозволяє йому використовувати її у більших і складніших виробах, як-от ця смертоносна зброя. Лезо потріскує від електричних розрядів такої сили, що світиться лютим фіолетовим, — цей неможливий колір є витребенькою самого Целеруса.		這件武器浸透了維持鋒利度的奈米機械體，類似於帝國單分子技術中的那些。機械巢群運用這種技術，使其得以應用在更大、更複雜的造物上，比如這件致命的武器。刀刃劈啪作響，迸發出強烈到會泛出狂暴紫光的電流——這種不可能的顏色，正是疾風一時興起的產物。														
ThingDef&APM_Weapon_TerminusExoblade.label	terminus exoblade							终焉外骨骼刃				экзо-клинок «Терминус»	екзоклинок термінуса		終焉外骨骼刃														
ThingDef&APM_Weapon_TerminusExoblade.description	This weapon is imbued with sharpness maintaining mechanites similar to those seen in imperial monotech. Such a technology being utilized by the mechhive allows the hive to apply it on larger and more complex applications, such as this deadly weapon. This particular exoblade hums with psychic energy, overcharged by the Terminus wielding it.							这件武器浸透了维持锋利度的纳米机械体，类似于帝国单分子技术中的那些。机械巢群运用这种技术，使其得以应用在更大、更复杂的造物上，比如这件致命的武器。这柄外骨骼刃因灵能而嗡鸣作响，被挥舞它的终焉所超载。				Это оружие пронизано механитами, поддерживающими остроту, подобно тем, что используются в монотехнологиях Империи. Использование подобной технологии ульем механоидов позволяет применять её на более крупных и сложных объектах, таких как это смертоносное оружие. Этот экзо-клинок гудит от пси-энергии, будучи перегруженным своим владельцем-Терминусом.	Ця зброя пронизана механітами, що підтримують гостроту, — подібно до тих, які використовуються в монотехнологіях Імперії. Те, що мехрій застосовує таку технологію, дозволяє йому використовувати її у більших і складніших виробах, як-от ця смертоносна зброя. Цей екзоклинок гуде від психічної енергії, перевантажений Термінусом, що ним володіє.		這件武器浸透了維持鋒利度的奈米機械體，類似於帝國單分子技術中的那些。機械巢群運用這種技術，使其得以應用在更大、更複雜的造物上，比如這件致命的武器。這柄外骨骼刃因靈能而嗡鳴作響，被揮舞它的終焉所超載。														
ThingDef&APM_Weapon_TerminusApexExoblade.label	terminus apex exoblade							终焉巅峰外骨骼刃				высший экзо-клинок «Терминус»	вершинний екзоклинок термінуса		終焉巔峰外骨骼刃														
ThingDef&APM_Weapon_TerminusApexExoblade.description	This weapon is imbued with sharpness maintaining mechanites similar to those seen in imperial monotech. Such a technology being utilized by the mechhive allows the hive to apply it on larger and more complex applications, such as this deadly weapon.							这件武器浸透了维持锋利度的纳米机械体，类似于帝国单分子技术中的那些。机械巢群运用这种技术，使其得以应用在更大、更复杂的造物上，比如这件致命的武器。				Это оружие пронизано механитами, поддерживающими остроту, подобно тем, что используются в монотехнологиях Империи. Использование подобной технологии ульем механоидов позволяет применять её на более крупных и сложных объектах, таких как это смертоносное оружие.	Ця зброя пронизана механітами, що підтримують гостроту, — подібно до тих, які використовуються в монотехнологіях Імперії. Те, що мехрій застосовує таку технологію, дозволяє йому використовувати її у більших і складніших виробах, як-от ця смертоносна зброя.		這件武器浸透了維持鋒利度的奈米機械體，類似於帝國單分子技術中的那些。機械巢群運用這種技術，使其得以應用在更大、更複雜的造物上，比如這件致命的武器。														
ThingDef&APM_Gun_Conqueror_AR.label	charge blaster rifle							电荷爆破步枪				импульсная штурмовая винтовка	бластер		電荷爆破步槍														
ThingDef&APM_Gun_Conqueror_AR.description	A general-purpose pulse-charged assault rifle designed for mid-range engagements. Highly reliable in all combat scenarios with a balanced rate of fire and precision.							一款为中距离交战设计的通用型电荷突击步枪。射速与精度均衡，在各种战斗场景中都极为可靠。				Универсальная штурмовая винтовка с импульсным зарядом, созданная для боя на средних дистанциях. Отличается высокой надежностью в любых боевых сценариях, сбалансированной скорострельностью и точностью.	Енергетична штурмова гвинтівка. Слабша за енергогвинтівку, але точніша.		一款為中距離交戰設計的通用型電荷突擊步槍。射速與精度均衡，在各種戰鬥場景中都極為可靠。														
ThingDef&APM_Bullet_ChargeCarbine.label	charge carbine shot							电荷卡宾枪射击				выстрел импульсного карабина	постріл енергокарабіна		電荷卡賓槍射擊														
ThingDef&APM_Gun_Conqueror_DMR.label	charge carbine							电荷卡宾枪				импульсный карабин	енергокарабін		電荷卡賓槍														
ThingDef&APM_Gun_Conqueror_DMR.description	A designated marksman rifle utilizing pulse-charge technology. Deals less structural damage per shot than a full Charge Lance, but fires significantly faster and excels at medium-to-long range.							一款采用电荷技术的精确射手步枪。单发对建筑造成的伤害低于一杆完整的电荷长枪，但射速明显更快，在中远距离上表现优异。				Марксманская винтовка, использующая технологию импульсного заряда. Наносит за один выстрел меньше структурного урона, чем полноценное зарядное копьё, но стреляет значительно быстрее и превосходно показывает себя на средних и дальних дистанциях.	Потужніша, швидкострільніша, але менш точна версія енергосписа.		一款採用電荷技術的精確射手步槍。單發對建築造成的傷害低於一桿完整的電荷長槍，但射速明顯更快，在中遠距離上表現優異。														
ThingDef&Bullet_ChargeSpitter.label	charge spitter shot							电荷喷吐枪射击				выстрел зарядного плевателя	постріл енергокулемета		電荷噴吐槍射擊														
ThingDef&APM_Gun_Conqueror_SMG.label	charge spitter							电荷喷吐枪				зарядный плеватель	енергокулемет		電荷噴吐槍														
ThingDef&APM_Gun_Conqueror_SMG.description	A compact high-rate-of-fire submachine gun. Extremely deadly at close quarters, but suffers severe accuracy falloff over distance.							一款紧凑的高射速冲锋枪。在近距离极为致命，但远距离上精度衰减严重。				Компактный пистолет-пулемет с высокой скорострельностью. Чрезвычайно смертоносен на ближней дистанции, но страдает от сильного падения точности с расстоянием.	Енергетичний скорострільний бластер для вогню на придушення. Легший за важкий бластер, але точніший.		一款緊湊的高射速衝鋒槍。在近距離極為致命，但遠距離上精度衰減嚴重。														
ThingDef&APM_Weapon_DuelistsPsySpear.label	dominion psy-spear							统御灵能长矛				пси-копьё владычества	псі-спис владарювання		統御靈能長矛														
ThingDef&APM_Weapon_DuelistsPsySpear.description	A reinforced spear imbued with Dominus-derived psychic circuitry. Allows the wielder to challenge a single opponent into a psychic duel, creating a focused maelstrom that amplifies attacks within. The spear channels the wielder’s will, projecting a shield around the duel and enhancing damage output within the duel’s radius.							一杆经过强化的长矛，浸透了源自主宰的灵能回路。它允许持有者向单一对手发起灵能决斗，制造出一个聚焦的漩涡来放大其中的攻击。长矛会导引持有者的意志，在决斗周围投射出一道护盾，并提升决斗半径内的伤害输出。				Усиленное копьё, пронизанное пси-цепями, созданными на основе технологий Доминуса. Позволяет владельцу вызвать одного противника на пси-дуэль, создавая направленный водоворот, усиливающий атаки внутри него. Копьё направляет волю владельца, проецируя щит вокруг места дуэли и увеличивая наносимый урон в её радиусе.	Посилене спис, пронизане психічними схемами, створеними на основі Домінуса. Дозволяє власникові викликати одного супротивника на психічну дуель, створюючи сфокусований вихор, що підсилює атаки всередині. Спис спрямовує волю власника, проєктуючи щит навколо місця дуелі й підвищуючи нанесений урон у її радіусі.		一桿經過強化的長矛，浸透了源自主宰的靈能迴路。它允許持有者向單一對手發起靈能決鬥，製造出一個聚焦的漩渦來放大其中的攻擊。長矛會導引持有者的意志，在決鬥周圍投射出一道護盾，並提升決鬥半徑內的傷害輸出。														
ThingDef&APM_Gun_EMP_Impactor.label	EMP impactor							电磁脉冲冲击器				ЭМИ-импактор	ЕМП-імпактор		電磁脈衝衝擊器														
ThingDef&APM_Gun_EMP_Impactor.description	A mechanoid grade electromagnetic grenade launcher, featuring better accuracy, a larger range and a bigger blast than more common variants of the same type. Organic life has many clear weaknesses, yet militaries still use said threats in their arsenals all the same. The mechhive is no different.							一款机械体级别的电磁榴弹发射器，相比同类型的常见型号，精度更高、射程更远、爆炸范围更大。有机生命有着许多显而易见的弱点，但军队依旧把这类威胁手段纳入自己的军械库。机械巢群也不例外。				Электромагнитный гранатомёт военного уровня механоидов, обладающий повышенной точностью, большей дальностью и увеличенным радиусом взрыва по сравнению с обычными аналогами. У органической жизни много очевидных слабостей, однако армии всё равно используют подобные средства в своих арсеналах. Улей механоидов — не исключение.	Електромагнітний гранатомет механоїдного класу з кращою точністю, більшою дальністю та потужнішим вибухом, ніж у поширеніших аналогів того самого типу. Органічне життя має чимало очевидних слабкостей, проте армії однаково тримають подібні засоби у своїх арсеналах. Мехрій — не виняток.		一款機械體等級的電磁榴彈發射器，相比同類型的常見型號，精度更高、射程更遠、爆炸範圍更大。有機生命有著許多顯而易見的弱點，但軍隊依舊把這類威脅手段納入自己的軍械庫。機械巢群也不例外。														
ThingDef&APM_Proj_EMP_Impactor.label	EMP impactor projectile							电磁脉冲冲击弹				снаряд ЭМИ-импактора	снаряд ЕМП-імпактора		電磁脈衝衝擊彈														
ThingDef&APM_Gazer_Laser.label	laser							激光				лазер	лазер		雷射														
ThingDef&APM_Gazer_Laser.description	A weaker laser from Gazer's eye							来自凝视者眼部的弱化激光。				Ослабленный лазерный луч из ока Созерцателя.	Ослаблений лазер з ока Спостерігача.		來自凝視者眼部的弱化雷射。														
DamageDef&MegaBeam.label	mega beam							巨型光束				мега-луч	мегапромінь		巨型光束														
DamageDef&APM_HazeAcidBeam.label	haze acid beam							迷雾酸液光束				кислотный луч мглы	кислотний промінь завіси		迷霧酸液光束														
ThingDef&APM_Proj_HazeToxicRepeater.label	haze acid beam							迷雾酸液光束				кислотный луч мглы	кислотний промінь завіси		迷霧酸液光束														
ThingDef&APM_HazeToxicPuddle.label	acid residue							酸性残留物				кислотный осадок	кислотний осад		酸性殘留物														
ThingDef&APM_Haze_BeamGun.label	Beam Witherer							迷雾伽马激光炮				лучевой иссушитель	гразерна гармата завіси		迷霧伽馬雷射砲														
ThingDef&APM_Haze_BeamGun.description	A tesseron's beam grazer twisted into a machine that spews toxic waste in addition to plasma, the products of this cannon are monstrously hazardous to organic life. Fear is only another foothold of the mechanoid superintelligence.							泰瑟龙的光束掠射器被扭曲改造成一台机器，除了等离子还会喷吐有毒废料；这门炮的产物对有机生命而言极度危险。恐惧不过是机械体超智能的又一个支点。				Лучевое оружие Тессерона, переоборудованный в орудие, выплёскивающее токсичные отходы в дополнение к плазме. Результаты выстрелов этой пушки чудовищно опасны для органической жизни. Страх — лишь ещё один инструмент сверхразума механоидов.	Променева установка тессерона, перетворена на машину, що вивергає токсичні відходи на додачу до плазми; продукти цієї гармати чудовищно небезпечні для органічного життя. Страх — лише ще одна опора надрозуму механоїдів.		泰瑟龍的光束掠射器被扭曲改造成一台機器，除了電漿還會噴吐有毒廢料；這門炮的產物對有機生命而言極度危險。恐懼不過是機械體超智能的又一個支點。														
ThingDef&APM_Gun_JavelinRocketLauncher.label	javelin rocket launcher							标枪火箭发射器				пусковая установка Джавелина	ракетниця джавеліна		標槍火箭發射器														
ThingDef&APM_Gun_JavelinRocketLauncher.description	A mechanoid guided missile rack. Each rocket clears the tube on a fixed heading before its seeker takes over, so the launcher cannot engage anything standing close enough to be overflown before the missile has turned. The seeker logs the damage profile of every creature and machine it opens up, and each rocket that finds the same one again is fused to bite deeper than the last. Structures give it nothing to read, and are hit at a flat rate.							一套机械体制导导弹发射架。每枚火箭都先沿固定航向飞离发射管，之后才由导引头接管，因此发射器无法攻击那些近到导弹尚未转向就已越过其头顶的目标。导引头会记录它剖开的每一个生物与每一台机器的损伤轮廓，此后再次命中同一目标的每一枚火箭，引信都会咬得比上一枚更深。建筑无法提供任何可供读取的信息，因此按固定值结算伤害。				Ракетный контейнер механоидов с управляемыми снарядами. Каждая ракета вылетает из пусковой трубы по фиксированной траектории, прежде чем её головка самонаведения перехватит управление. Из-за этого установка не может поражать цели, находящиеся слишком близко. Головка наведения регистрирует профиль повреждений каждой цели, и каждая последующая ракета, попавшая в того же противника, наносит всё больше урона. Сооружения не дают профиля для анализа и получают фиксированный урон.	Ракетна установка механоїдів із керованими снарядами. Кожна ракета вилітає з пускової труби за фіксованим курсом, перш ніж керування перехопить головка самонаведення, тож установка не може уразити ціль, що стоїть настільки близько, що ракета пролетить повз неї до розвороту. Головка самонаведення фіксує профіль ушкоджень кожної істоти й машини, яку розкриває, і кожна наступна ракета, що знову знаходить ту саму ціль, вражає глибше за попередню. Споруди не дають нічого для зчитування, тож уражаються за фіксованою схемою.		一套機械體導引飛彈發射架。每枚火箭都先沿固定航向飛離發射管，之後才由導引頭接管，因此發射器無法攻擊那些近到飛彈尚未轉向就已越過其頭頂的目標。導引頭會記錄它剖開的每一個生物與每一台機器的損傷輪廓，此後再次命中同一目標的每一枚火箭，引信都會咬得比上一枚更深。建築無法提供任何可供讀取的資訊，因此按固定值結算傷害。														
ThingDef&APM_Proj_JavelinMissile.label	javelin missile							标枪导弹				ракета «Джавелин»	ракета джавеліна		標槍飛彈														
ThingDef&APM_Proj_JavelinMissile_Incendiary.label	javelin incendiary missile							标枪燃烧导弹				зажигательная ракета «Джавелин»	запальна ракета джавеліна		標槍燃燒飛彈														
ThingDef&APM_Proj_JavelinMissile_HighExplosive.label	javelin high-explosive missile							标枪高爆导弹				фугасная ракета «Джавелин»	фугасна ракета джавеліна		標槍高爆飛彈														
ThingDef&APM_Proj_JavelinMissile_EMP.label	javelin EMP missile							标枪电磁脉冲导弹				ЭМИ-ракета «Джавелин»	ЕМП-ракета джавеліна		標槍電磁脈衝飛彈														
ThingDef&APM_Weapon_MechWhip.label	mech whip							机械鞭				мех хлыст	хлист		機械鞭														
ThingDef&APM_Weapon_MechWhip.description	The mech whip can deal heavy damage and stun multiple targets in close proximity to the user. It appears the mechhive views sentient organic life akin to how we view cattle, and treats us as such.							机械长鞭能对贴近使用者的多个目标造成重伤并将其击晕。看来机械巢群看待有感知的有机生命，就如同我们看待牲畜一般，并且也确实如此对待我们。				Хлыст механоидов способна наносить тяжёлый урон и оглушать несколько целей в непосредственной близости от владельца. Похоже, улей механоидов относится к разумной органической жизни так же, как люди относятся к скоту, и поступает соотвествующе.	Невеликий залповий вогнемет механоїдів.		機械長鞭能對貼近使用者的多個目標造成重傷並將其擊暈。看來機械巢群看待有感知的有機生命，就如同我們看待牲畜一般，並且也確實如此對待我們。														
ManeuverDef&APM_Whip.verb	Verb_MeleeAttackDamageCut							挥砍				режущий удар	ріжучий удар		揮砍														
ToolCapacityDef&APM_Whip.label	whip							鞭打				хлыст	хлист		鞭打														
ThingDef&APM_Bullet_MaulBlaster.label	heavy charge burst shot							重型电荷连射弹				тяжёлый плазменный заряд	постріл важкого енергозалпу		重型電荷連射彈														
ThingDef&APM_Gun_Maul.label	heavy sledge blaster							重型锤击爆能枪				тяжёлый молот-бластер	важкий бластер-кувалда		重型錘擊爆能槍														
ThingDef&APM_Gun_Maul.description	An enhanced pulse-charged rapid-fire heavy machine gun built with an integrated kinetic hammer on its frame for devastating close-quarters bludgeoning. Heavy cooling allows long, deadly bursts, while additional interfacing technology lets certain mechanoid wielders continuously overclock and overheat the weapon's output, leading to potentially disastrous effects for both the user and anything caught in front of the barrel.							一款经过强化的电荷速射重型机枪，枪身上集成了一柄动能重锤，可在近距离造成毁灭性的钝击。强力散热让它能打出长而致命的连射；而额外的接口技术使某些机械体使用者能够持续超频并过热输出，这可能给使用者本人以及枪口前方的一切带来灾难性的后果。				Мощный импульсный скорстрельный тяжёлый пулемёт с интегрированным кинетическим молотом на раме для сокрушительных ударов в ближнем бою. Мощное охлаждение позволяет вести длинные смертоносные очереди, а интерфейсные технологии позволяют некоторым механоидам разогонять и перегревать оружие, что может привести к катастрофическим последствиям как для оператора, так и для всех перед стволом.	Покращений імпульсний швидкострільний важкий кулемет з інтегрованим кінетичним молотом на рамі для нищівних ударів у ближньому бою. Потужне охолодження дозволяє вести довгі смертоносні черги, а додаткові інтерфейсні технології дають змогу деяким механоїдам постійно розганяти й перегрівати зброю, що може призвести до катастрофічних наслідків і для користувача, і для всього, що опиниться перед дулом.		一款經過強化的電荷速射重型機槍，槍身上整合了一柄動能重錘，可在近距離造成毀滅性的鈍擊。強力散熱讓它能打出長而致命的連射；而額外的介面技術使某些機械體使用者能夠持續超頻並過熱輸出，這可能給使用者本人以及槍口前方的一切帶來災難性的後果。														
ThingDef&APM_Weapon_PlasmaWhip.label	plasma whip							等离子鞭				плазменный хлыст	плазмовий батіг		等離子鞭														
ThingDef&APM_Weapon_PlasmaWhip.description	Inspired by the whip wielded by the Lasher mechanoid, the plasma whip can deal damage and stun multiple targets at once, making it a good tool for holding back groups of foes in close range.							灵感来自鞭挞者机械体所挥舞的长鞭，等离子鞭能同时伤害并击晕多个目标，是在近距离阻截成群敌人的理想工具。				Созданная по образу и подобию плети механоида-Плеточника, плазменная плеть способна наносить урон и оглушать сразу несколько целей, что делает её отличным средством для сдерживания групп врагов на близкой дистанции.	Створений за образом і подобою батога механоїда-погонича, плазмовий батіг здатен завдавати урон і оглушувати одразу кілька цілей, що робить його чудовим засобом для стримування груп ворогів на близькій відстані.		靈感來自鞭撻者機械體所揮舞的長鞭，等離子鞭能同時傷害並擊暈多個目標，是在近距離阻截成群敵人的理想工具。														
ThingDef&APM_Gun_Pulse_Shotgun.label	Charge Scattershot							脉冲霰弹枪				импульсный рассеиватель	імпульсний дробовик		脈衝霰彈槍														
ThingDef&APM_Gun_Pulse_Shotgun.description	Close quarters combat with mechanized foes is never a good idea, and the introduction of the charge scattershot turns that idea into a death wish. This shotgun uses pulse munitions and the result is a prime emplacement breaching tool. Enemy forces are typically less armored than defense emplacements and even a militor could determine the results of that matchup.							与机械化敌人近距离交战从来不是什么好主意，而电荷散射霰弹枪的出现，更是把这个念头变成了自杀行为。这把霰弹枪使用电荷弹药，因此成为破开工事的绝佳工具。敌方部队的装甲通常不如防御工事，就连一台军卫都推得出这种较量的结果。				Ближний бой с механизированными противниками - никогда не был хорошей идеей, а появление импульсного рассеивателя превращает эту мысль в смертельный приговор. Этот дробовик использует импульсные боеприпасы, и в результате получается первоклассный инструмент для прорыва укреплений. Вражеские силы обычно менее бронированы, чем оборонительные точки, и даже милитор смог бы предсказать исход такого столкновения.	Енергетичний дробовик, що робить два потужні залпи, вивільняючи нестабільну енергію при влучанні.		與機械化敵人近距離交戰從來不是什麼好主意，而電荷散射霰彈槍的出現，更是把這個念頭變成了自殺行為。這把霰彈槍使用電荷彈藥，因此成為破開工事的絕佳工具。敵方部隊的裝甲通常不如防禦工事，就連一台軍衛都推得出這種較量的結果。														
ThingDef&APM_Pulse_Proj.label	pulse bullet							脉冲子弹				импульсный заряд	імпульсний снаряд		脈衝子彈														
ThingDef&APM_Ravager_Artillery.label	Starspewer							蹂躏者火炮				звездочёт	артилерія Спустошувача		蹂躪者火砲														
ThingDef&APM_Ravager_Artillery.description	A moveable auto-mortar with integrated hellsphere adjacent technology, this mechanoid siege weapon was intended to be emplaced on larger mechanoid frames. One can almost feel the mechhive’s hate in every blast of the cannon.							一台可移动的自动迫击炮，集成了源自地狱球的相邻技术。这台机械体攻城武器原本是要架设在更大型的机械体机架上的。这门火炮每一次轰鸣，都几乎能让人真切地感受到机械巢群的恨意。				Мобильный автоминомёт со встроенными технологиями адской сферы. Это осадочное орудие механоидов предназначалось для установки на крупные шасси. В каждом залпе этой пушки буквально ощущается ненависть улья механоидов.	Мобільний автоміномет з інтегрованою технологією на основі дезінтегратора. Цю облогову зброю механоїдів призначалося встановлювати на більші механоїдні шасі. У кожному залпі цієї гармати буквально відчувається ненависть мехрою.		一台可移動的自動迫擊炮，整合了源自地獄球的相鄰技術。這台機械體攻城武器原本是要架設在更大型的機械體機架上的。這門火炮每一次轟鳴，都幾乎能讓人真切地感受到機械巢群的恨意。														
ThingDef&APM_ArtilleryProjectile.label	artillery projectile							火炮炮弹				артиллерийский снаряд	артилерійський снаряд		火砲砲彈														
ThingDef&APM_StarfallCarrier.label	starfall carrier							星陨运载弹				снаряд-носитель «Звездопад»	носій «Зорепаду»		星隕運載彈														
ThingDef&APM_StarfallSplitProjectile.label	starfall split projectile							星陨分裂弹				кассетный снаряд «Звездопад»	уламок «Зорепаду»		星隕分裂彈														
ThingDef&APM_Bullet_SatelliteBlaster.label	light charge burst shot							轻型电荷连射弹				лёгкий импульсный заряд	постріл легкого енергозалпу		輕型電荷連射彈														
ThingDef&APM_Gun_Satellite.label	light charge suppressor							轻型电荷压制枪				лёгкий импульсный подавитель	легкий енергоподавлювач		輕型電荷壓制槍														
ThingDef&APM_Gun_Satellite.description	A compact pulse-charged rapid-fire blaster for area suppressive fire in tight spaces. Even better at area denial than its larger, more common sibling, the heavy charge blaster, at the cost of range and damage.							一款紧凑的电荷速射爆破枪，用于在狭窄空间内进行压制射击。它比体型更大、也更为常见的兄弟——重型电荷爆破枪——更擅长区域封锁，代价是射程与伤害。				Компактный скорострельный импульсный бластер для подавления огнём в стеснённых условиях. Удерживает позицию ещё эффективнее, чем его крупный аналог — тяжёлый бластер, но уступает ему в дальности и уроне.	Компактний імпульсний швидкострільний бластер для придушення вогнем у тісних просторах. Він ще краще стримує територію, ніж його більший і поширеніший побратим — важкий зарядовий бластер, — ціною дальності та урону.		一款緊湊的電荷速射爆破槍，用於在狹窄空間內進行壓制射擊。它比體型更大、也更為常見的兄弟——重型電荷爆破槍——更擅長區域封鎖，代價是射程與傷害。														
ThingDef&APM_Weapon_SeveringBlade.label	severing blade							切割刃				рассекающий клинок	розсікаюче лезо		切割刃														
ThingDef&APM_Weapon_SeveringBlade.description	A heavy combat blade integrated with Terminus-derived control matrices. Allows the wielder to channel psychic energy into wide sweeping strikes, cleaving through multiple foes at once.							一柄集成了源自终焉的控制矩阵的重型战刃。它允许持有者将灵能导入大范围的横扫斩击，一次劈开多名敌人。				Тяжёлый боевой клинок, оснащённый управляющими матрицами на основе технологий Терминуса. Позволяет владельцу направлять пси-энергию в широкие размашистые удары, рассекающие сразу нескольких врагов.	Важкий бойовий клинок з інтегрованими керівними матрицями на основі Термінуса. Дозволяє власникові спрямовувати психічну енергію в широкі розмашисті удари, розсікаючи одразу кількох ворогів.		一柄整合了源自終焉的控制矩陣的重型戰刃。它允許持有者將靈能導入大範圍的橫掃斬擊，一次劈開多名敵人。														
DamageDef&APM_SonicVibration.label	sonic vibration							声波震荡				звуковая вибрация	звукова вібрація		聲波震盪														
ThingDef&APM_Siren_ChargeEmitter.label	charge emitter							电荷发射器				звуковой излучатель	зарядний емітер		電荷發射器														
ThingDef&APM_Siren_ChargeEmitter.description	A wave emitting device that fires focused blasts of high frequency vibration at targets. It is capable of bypassing armor as with intense enough emissions, anything in this weapon's way inevitably becomes another medium of transmission.							一台波动发射装置，向目标射出聚焦的高频振动爆发。它能够绕过护甲——当发射强度足够时，挡在这件武器前方的任何东西，都不可避免地会成为传导波动的又一介质。				Волновое устройство, ведущее огонь сфокусированными импульсами высокочастотных вибраций. Способно полностью игнорировать броню: при достаточной мощности излучения любая преграда на пути выстрела неизбежно сама становится проводником волны.	Хвильовий випромінювач, що веде вогонь сфокусованими залпами високочастотних вібрацій по цілях. Здатний обходити броню: за досить інтенсивного випромінювання будь-що на шляху цієї зброї неминуче само стає провідником хвилі.		一台波動發射裝置，向目標射出聚焦的高頻振動爆發。它能夠繞過護甲——當發射強度足夠時，擋在這件武器前方的任何東西，都不可避免地會成為傳導波動的又一介質。														
ThingDef&APM_Proj_SirenChargeEmitter.label	sonic pulse							声波脉冲				звуковой импульс	звуковий імпульс		聲波脈衝														
ThingDef&APM_Weapon_Skipblade.label	skipblade							传送刃				вспышка меч	телепорт-клинок		傳送刃														
ThingDef&APM_Weapon_Skipblade.description	A high-frequency katana integrated with Celerus-derived displacement technology. Enables the wielder to psychically “skip” short distances with each strike, closing gaps instantly or evading counterattacks.							一柄高频太刀，集成了源自疾风的位移技术。它使持有者能在每次挥击时以灵能的方式「跳跃」一小段距离，瞬间拉近距离或规避反击。				Высокочастотная катана со встроенной технологией перемещения на основе разработок Целеруса. Позволяет владельцу ментально «совершать скачок» на небольшие расстояния при каждом ударе, мгновенно сокращая дистанцию или уклоняясь от контратак.	Високочастотна катана з інтегрованою технологією переміщення на основі розробок Целеруса. Дозволяє власникові психічно «перестрибувати» короткі відстані з кожним ударом, миттєво скорочуючи дистанцію або ухиляючись від контратак.		一柄高頻太刀，整合了源自疾風的位移技術。它使持有者能在每次揮擊時以靈能的方式「跳躍」一小段距離，瞬間拉近距離或規避反擊。														
AbilityDef&APM_SkipbladeBlink.label	skip							传送				Скачок клинка	телепорт		傳送														
AbilityDef&APM_SkipbladeBlink.description	Channel the displacement technology embedded in the skipblade to instantly skip to a nearby location.							导引传送刃内置的位移技术，瞬间跳跃至附近位置。				Клинок совершает рывок сквозь пространство, перемещая владельца к врагу.	Спрямувати вбудовану в стрибковий клинок технологію переміщення, щоб миттєво перестрибнути в сусідню точку.		導引傳送刃內建的位移技術，瞬間跳躍至附近位置。														
ThingDef&APM_Gun_Vassal_SwordRifle.label	charge sword rifle							电荷剑刃步枪				импульсная винтовка-клинок	енергомеч-гвинтівка		電荷劍刃步槍														
ThingDef&APM_Gun_Vassal_SwordRifle.description	A charged-shot sword rifle. Weaker than a charge rifle, but more accurate and melee capable.							一款发射电荷的剑刃步枪。威力不及电荷步枪，但精度更高，且可用于近战。				Импульсная винтовка со встроенным лезвием. Слабее стандартной импульсной винтовки, но обладает лучшей точностью и эффективна в ближнем бою.	Енергетична гвинтівка-меч. Слабша за звичайну енергогвинтівку, але точніша й може слугувати зброєю ближнього бою.		一款發射電荷的劍刃步槍。威力不及電荷步槍，但精度更高，且可用於近戰。														
ThingDef&APM_Bullet_ChargeSwordRifle.label	charge shot							电荷射击				импульсный заряд	енергетичний постріл		電荷射擊														
ThingDef&APM_Solus.label	solus							索拉斯				солус	солус		索拉斯														
